name;city;start_date;end_date;Latitude;Longtitude;link
15th Annual Conference of the Italian Association for Cognitive Sciences;Pavia;Dec 17, 2018;Dec 19, 2018;-51.80348374103356;36.095002663179784;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333537
2018 Seminar on Linguistic Typology and the Expressions of Motion Events in Languages in China;Changshu;Dec 21, 2018;Dec 23, 2018;-41.44004555022062;88.57780044526844;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=313096
8th International Conference on Academic Studies in Human Educational and Social Sciences;Tirana, ALBANIA;Dec 14, 2018;Dec 15, 2018;1.3643085697243595;-157.47572852482443;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343816
A Host of Tongues…: Multilingualism, Lingua Franca and Translation in the Early Modern Period;Lisbon;Dec 13, 2018;Dec 15, 2018;42.29341918869685;-162.44619518897545;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327316
CogLingDays8;Louvain-la-Neuve;Dec 13, 2018;Dec 14, 2018;-40.27335121730667;-28.765468985242524;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=317336
Discourse Markers, a Contrastive Perspective between Portuguese and Other Languages;Porto;Dec 13, 2018;Dec 14, 2018;-6.679305240213054;-148.55951785859654;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339876
Fieldwork: Methods and Theory;Gothenburg;Dec 13, 2018;Dec 14, 2018;43.25825989363253;-74.2469661241972;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333036
Globalising Sociolinguistics 2: Communicating in the City;Leiden;Dec 13, 2018;Dec 15, 2018;5.690153396266159;-119.41493901308397;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=306396
I Workshop on Spoken Corpus Linguistics;València;Dec 13, 2018;Dec 14, 2018;-66.48735298273984;166.34226697510698;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=323076
Linguistic Issues in Vietnam and Southeast Asia;Ho Chi Minh City;Dec 21, 2018;Dec 22, 2018;38.89387799424854;-162.97636056774533;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328276
Semantics and Philosophy in Europe 10;Barcelona, Catalonia;Dec 17, 2018;Dec 19, 2018;-53.6907701915302;44.68526672352908;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335296
Society for the History of Linguistics in the Pacific 6;Adelaide, South Australia;Dec 13, 2018;Dec 14, 2018;41.22762683808744;117.84429245818448;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=316416
The Language of Art and Culture Heritage: a Pluringual and Digital Perspective;Bologna;Dec 13, 2018;Dec 14, 2018;36.50067306749568;-170.6347145032701;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339236
Translation and Performative Practices: Itineraries in Translation History;Tartu;Dec 13, 2018;Dec 15, 2018;77.7502662257267;141.72700142146095;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338756
What’s (the) News? Values, Viruses and Vectors of Newsworthiness;Brussels;Dec 13, 2018;Dec 14, 2018;-17.121660490590028;-145.04692146990863;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=318696
Workshop on Accommodation in Speech Communication;Zurich;Dec 13, 2018;Dec 13, 2018;-10.715228777275401;-0.42580508913699483;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347136
16th Old World Conference on Phonology;Verona;Jan 16, 2019;Jan 18, 2019;-1.3183467958985167;45.79050495440988;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329116
2019 MLA Convention Session: Pathways to Paradigm Change: Critical Examinations of Prevailing Discourses and Ideologies in Second Language Education;Chicago/Illinois;Jan 03, 2019;Jan 06, 2019;-2.1449770842530738;-92.62971686104049;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=320097
3rd International Conference on Teaching Grammar;Barcelona;Jan 23, 2019;Jan 25, 2019;45.52068979858913;70.27997437474362;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=308676
4th Variation and Language Processing;Sydney, NSW;Jan 23, 2019;Jan 25, 2019;12.580275842749115;-139.21200128429052;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=324236
6th Workshop on Portuguese as a Second Language - Acquisition and Teaching;Lisbon;Jan 18, 2019;Jan 19, 2019;67.67195819173828;147.24936110226034;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338716
"AAAI Workshop on Affective Content Analysis &amp; Happiness Shared Task: Modeling Affect-in-Action";Honolulu, Hawaii;Jan 27, 2019;Jan 28, 2019;-13.245447010200994;118.99663018768935;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347617
American Dialect Society Annual Meeting;New York, NY;Jan 03, 2019;Jan 06, 2019;78.76899413672412;8.417746370219769;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325896
American Name Society;New York, NY;Jan 03, 2019;Jan 06, 2019;29.330401365282743;-100.64743238511484;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336816
Bilingualism in the Hispanic and Lusophone World;Leiden;Jan 09, 2019;Jan 11, 2019;78.826666706395;3.5843750814922246;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334816
CLIN 29: Computational Linguistics in The Netherlands;Groningen;Jan 31, 2019;Jan 31, 2019;-7.688792395889267;-124.08093586275655;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345656
Community-based Language Research across the Americas;New York, NY;Jan 02, 2019;Jan 03, 2019;12.671323394038657;-140.43675188960538;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336996
Computer-Assisted Literary Translation workshop;Swansea;Jan 25, 2019;Jan 26, 2019;11.943061058272267;-16.027124484477003;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352796
Conference On Asian Linguistic Anthropology 1;Siem Reap;Jan 23, 2019;Jan 26, 2019;15.425625654143477;39.35684930764346;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=301076
Experimental Approaches to Cross-linguistic Variation in Island Phenomena;New York, New York;Jan 03, 2019;Jan 07, 2019;5.6367182163264875;-166.7827094972881;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=326676
Fifth International Workshop for Computational Linguistics of Uralic Languages;Tartu;Jan 07, 2019;Jan 08, 2019;-83.16618244195554;-91.49693105365576;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338496
Fifth National Language Conference;Cuttack, Odisha,;Jan 19, 2019;Jan 21, 2019;-0.050278578658931136;157.41614710310094;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349456
First(!) Annual Meeting of the North American Research Network in Historical Sociolinguistics;New York City;Jan 05, 2019;Jan 05, 2019;-12.318923227337708;118.54607768257374;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332436
Fremdsprachenlehrwerke in der Frühen Neuzeit: Perspektiven – Potentiale – Herausforderungen;Berlin;Jan 21, 2019;Jan 22, 2019;-16.83542190160777;25.973147167587527;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331036
Hybrid/Paradoxal Representations of Gender and Sexuality;Siem Reap;Jan 23, 2019;Jan 26, 2019;-81.24230643343104;66.85347530834086;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338356
Interdisciplinary Conference on the Prehistory of Transeurasian Millets and Beans, Languages and Genes;Jena, Thuringia;Jan 08, 2019;Jan 11, 2019;-50.39216607338039;-134.70929047384521;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342896
International Perspectives on Assessing World Languages;Cairo;Jan 30, 2019;Jan 31, 2019;51.42339253135514;169.6266218135159;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346976
JALT Hokkaido Winter Language Teaching Conference;Sapporo, Hokkaido;Jan 26, 2019;Jan 27, 2019;12.89210853605561;24.010434754749745;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340376
Language and Post-queer Sexuality in East Asia;Siem Reap;Jan 23, 2019;Jan 26, 2019;-75.78055218833792;66.89523621588047;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338376
L'apprenant en langues et dans les métiers de la traduction : source d'interrogations et de perspectives / Language learners and learning in the language and translation professions: questions pending and future avenues to explore;Rennes;Jan 31, 2019;Feb 02, 2019;-71.85190549555507;-131.01072990099263;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325356
Las categorías gramaticales. Relaciones y diferencias, treinta años después;Madrid;Jan 30, 2019;Feb 02, 2019;53.504272242032194;-5.294010466479131;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347916
L’épilinguistique et le métalinguistique en linguistique énonciative;Paris Est-Marne La Vallée;Jan 17, 2019;Jan 18, 2019;75.84629767828505;-28.051379825382234;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335436
Linguistics and its Historical Forms of Organization and Production;Paris;Jan 24, 2019;Jan 26, 2019;-78.60553394488218;115.91406428155926;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328316
Linguistic Society of America 93rd Annual Meeting;New York, NY;Jan 03, 2019;Jan 06, 2019;55.821360165904544;94.0066546593082;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329876
Modern Language Association: Selected Topics in Romance Linguistics;Chicago, IL;Jan 03, 2019;Jan 06, 2019;-89.03058013688094;-15.201858184351613;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=317056
Particles in German, English and Beyond;Saarbrücken (Saarland University);Jan 21, 2019;Jan 22, 2019;-0.8681919764777881;164.15841669354796;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345396
Secrets of Success. Or: How to preserve a Verb Second word order?;Oslo;Jan 10, 2019;Jan 11, 2019;-27.792824721415666;73.64709880238918;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345916
Society for Computation in Linguistics Second Meeting;New York, NY;Jan 03, 2019;Jan 06, 2019;-88.630522218889;109.16954935262748;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328816
Society for Pidgin and Creole Linguistics - Winter Conference 2019;New York;Jan 03, 2019;Jan 06, 2019;57.38711473390838;5.826487808922277;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334436
Spatial Patterns of Language Evolution;Zurich;Jan 24, 2019;Jan 24, 2019;49.86770769588271;-166.23177353018798;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341176
Teaching General Linguistics Classes - LSA Special Session;New York, NY;Jan 03, 2019;Jan 06, 2019;60.908540637831884;137.70218120567122;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327696
The 9th International Conference on Han Characters Education and Research;Ho Chi Minh City University of Education, Vietnam;Jan 19, 2019;Jan 21, 2019;-89.32495397584104;141.8649431283073;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340396
The Society for the Study of Indigenous Languages of the Americas Winter Meeting 2019;New York City, NY;Jan 03, 2019;Jan 06, 2019;-1.4647556912212234;-112.06282887446773;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=322916
Workshop: Multilingualism, Contact and Documenting Endangered Languages;New York, New York;Jan 06, 2019;Jan 06, 2019;25.09758147667496;-75.37566351196459;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338196
11th International Conference on Middle English;Florence;Feb 05, 2019;Feb 08, 2019;-86.13235889804461;-80.80187009157537;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=315817
18th SLAT Interdisciplinary Roundtable;Tucson;Feb 08, 2019;Feb 09, 2019;-14.829699094475217;-151.4405724241931;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352076
1st FARMM Challenge Formal Approaches to Romance Microvariation and Microcontact;Barcelona;Feb 15, 2019;Feb 15, 2019;-68.5671079000961;-103.31645375850312;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342436
29th Annual Graduate and Professional Symposium on Hispanic and Luso-Brazilian Literature, Language and Culture:;Tucson, AZ;Feb 22, 2019;Feb 23, 2019;-22.81262258067997;-101.25513487345658;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356476
2nd International Cyprus Undergraduate Linguistics Conference;Nicosia;Feb 16, 2019;Feb 17, 2019;57.90938770773242;-84.09127870551933;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345436
3rd Workshop on the Use of Computational Methods in the Study of Endangered Languages;Honolulu, Hawai'i;Feb 26, 2019;Feb 27, 2019;-19.048583611178476;-114.15267910122724;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334236
40th Annual Southwest Popular/American Culture Association;Albuquerque, NM;Feb 20, 2019;Feb 23, 2019;-2.350977062173518;108.86078723763353;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342856
45th Incontro di Grammatica Generativa;Padova;Feb 21, 2019;Feb 23, 2019;28.676478694428;29.06160058689077;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347536
4th International Conference ‘From Theory to Practice in Language for Specific Purposes’;Zagreb;Feb 21, 2019;Feb 23, 2019;-25.53811261095035;172.76051271622075;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335616
4th Intonation Workshop;Toronto, ON;Feb 15, 2019;Feb 15, 2019;46.62047584634575;-80.55153807358066;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348016
4th Workshop on Turkic and Languages in Contact with Turkic;New York, New York;Feb 16, 2019;Feb 17, 2019;60.63035629647078;5.471728345410781;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340417
5th International Conference on the Teaching of French;San Juan;Feb 28, 2019;Mar 02, 2019;-79.36949504716017;-150.78974074156554;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330116
6th National Symposium on Spanish as a Heritage Language;McAllen, Texas;Feb 21, 2019;Feb 23, 2019;-15.106527158362331;-64.69528132349718;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329896
7th International Conference on Endangered and Lesser Known Languages;kolkata;Feb 20, 2019;Feb 23, 2019;4.957775628995797;37.7093008517314;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329977
AISV Conference 2019: Audio Archives at the Crossroads of Speech Sciences, Digital Humanities and Digital Heritage;Arezzo;Feb 14, 2019;Feb 16, 2019;-3.502366592285002;-21.75779098436677;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338396
AItLA 2019: Minority Languages Between Localism and Globalization;Cagliari;Feb 21, 2019;Feb 23, 2019;-82.33957837769097;-174.97819699802238;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335976
American Association for the Advancement of Science;Washington DC;Feb 14, 2019;Feb 17, 2019;-45.96520080810469;-37.91070476665812;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347176
Applied Winter Linguistics Conference 2019 (ALWC);Binghamton, New York;Feb 09, 2019;Feb 09, 2019;40.09765729086371;72.93307988408345;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345456
Australian Humour Studies Network conference;Melbourne, Victoria;Feb 06, 2019;Feb 08, 2019;54.14337016036596;29.304492359708423;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=326337
BLS Workshop: Countability Distinctions;Berkeley, CA;Feb 08, 2019;Feb 09, 2019;-4.839679866147399;-128.71196385832542;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350476
ConSOLE XVII 2019;Berlin;Feb 21, 2019;Feb 23, 2019;-4.376926062504028;-106.09053380023454;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332316
Corpora for Language and Aging Research 4: Interaction, Methods, and Positions;Helsinki;Feb 27, 2019;Mar 01, 2019;76.88071194203339;54.226310426117614;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332216
Crossing the Border between Spanish and English: Current issues, future perspectives, linguistic and literary insights;Ghent;Feb 05, 2019;Feb 06, 2019;-86.49886561159589;60.35884660966518;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331716
