name;city;start_date;end_date;Latitude;Longtitude;link
15th Annual Conference of the Italian Association for Cognitive Sciences;Pavia;11 17, 2018;11 19, 2018;-51.80348374103356;36.095002663179784;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333537
2018 Seminar on Linguistic Typology and the Expressions of Motion Events in Languages in China;Changshu;11 21, 2018;11 23, 2018;-41.44004555022062;88.57780044526844;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=313096
8th International Conference on Academic Studies in Human Educational and Social Sciences;Tirana, ALBANIA;11 14, 2018;11 15, 2018;1.3643085697243595;-157.47572852482443;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343816
A Host of Tongues…: Multilingualism, Lingua Franca and Translation in the Early Modern Period;Lisbon;11 13, 2018;11 15, 2018;42.29341918869685;-162.44619518897545;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327316
CogLingDays8;Louvain-la-Neuve;11 13, 2018;11 14, 2018;-40.27335121730667;-28.765468985242524;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=317336
Discourse Markers, a Contrastive Perspective between Portuguese and Other Languages;Porto;11 13, 2018;11 14, 2018;-6.679305240213054;-148.55951785859654;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339876
Fieldwork: Methods and Theory;Gothenburg;11 13, 2018;11 14, 2018;43.25825989363253;-74.2469661241972;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333036
Globalising Sociolinguistics 2: Communicating in the City;Leiden;11 13, 2018;11 15, 2018;5.690153396266159;-119.41493901308397;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=306396
I Workshop on Spoken Corpus Linguistics;València;11 13, 2018;11 14, 2018;-66.48735298273984;166.34226697510698;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=323076
Linguistic Issues in Vietnam and Southeast Asia;Ho Chi Minh City;11 21, 2018;11 22, 2018;38.89387799424854;-162.97636056774533;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328276
Semantics and Philosophy in Europe 10;Barcelona, Catalonia;11 17, 2018;11 19, 2018;-53.6907701915302;44.68526672352908;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335296
Society for the History of Linguistics in the Pacific 6;Adelaide, South Australia;11 13, 2018;11 14, 2018;41.22762683808744;117.84429245818448;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=316416
The Language of Art and Culture Heritage: a Pluringual and Digital Perspective;Bologna;11 13, 2018;11 14, 2018;36.50067306749568;-170.6347145032701;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339236
Translation and Performative Practices: Itineraries in Translation History;Tartu;11 13, 2018;11 15, 2018;77.7502662257267;141.72700142146095;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338756
What’s (the) News? Values, Viruses and Vectors of Newsworthiness;Brussels;11 13, 2018;11 14, 2018;-17.121660490590028;-145.04692146990863;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=318696
Workshop on Accommodation in Speech Communication;Zurich;11 13, 2018;11 13, 2018;-10.715228777275401;-0.42580508913699483;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347136
16th Old World Conference on Phonology;Verona;0 16, 2019;0 18, 2019;-1.3183467958985167;45.79050495440988;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329116
2019 MLA Convention Session: Pathways to Paradigm Change: Critical Examinations of Prevailing Discourses and Ideologies in Second Language Education;Chicago/Illinois;0 03, 2019;0 06, 2019;-2.1449770842530738;-92.62971686104049;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=320097
3rd International Conference on Teaching Grammar;Barcelona;0 23, 2019;0 25, 2019;45.52068979858913;70.27997437474362;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=308676
4th Variation and Language Processing;Sydney, NSW;0 23, 2019;0 25, 2019;12.580275842749115;-139.21200128429052;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=324236
6th Workshop on Portuguese as a Second Language - Acquisition and Teaching;Lisbon;0 18, 2019;0 19, 2019;67.67195819173828;147.24936110226034;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338716
"AAAI Workshop on Affective Content Analysis &amp; Happiness Shared Task: Modeling Affect-in-Action";Honolulu, Hawaii;0 27, 2019;0 28, 2019;-13.245447010200994;118.99663018768935;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347617
American Dialect Society Annual Meeting;New York, NY;0 03, 2019;0 06, 2019;78.76899413672412;8.417746370219769;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325896
American Name Society;New York, NY;0 03, 2019;0 06, 2019;29.330401365282743;-100.64743238511484;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336816
Bilingualism in the Hispanic and Lusophone World;Leiden;0 09, 2019;0 11, 2019;78.826666706395;3.5843750814922246;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334816
