name;city;start_day;start_month;start_year;end_day;end_month;end_year;link
15th Annual Conference of the Italian Association for Cognitive Sciences;Pavia;17;11;2018;19;11;2018;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333537
2018 Seminar on Linguistic Typology and the Expressions of Motion Events in Languages in China;Changshu;21;11;2018;23;11;2018;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=313096
8th International Conference on Academic Studies in Human Educational and Social Sciences;Tirana, ALBANIA;14;11;2018;15;11;2018;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343816
Linguistic Issues in Vietnam and Southeast Asia;Ho Chi Minh City;21;11;2018;22;11;2018;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328276
Semantics and Philosophy in Europe 10;Barcelona, Catalonia;17;11;2018;19;11;2018;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335296
16th Old World Conference on Phonology;Verona;16;0;2019;18;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329116
2019 MLA Convention Session: Pathways to Paradigm Change: Critical Examinations of Prevailing Discourses and Ideologies in Second Language Education;Chicago/Illinois;03;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=320097
3rd International Conference on Teaching Grammar;Barcelona;23;0;2019;25;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=308676
4th Variation and Language Processing;Sydney, NSW;23;0;2019;25;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=324236
6th Workshop on Portuguese as a Second Language - Acquisition and Teaching;Lisbon;18;0;2019;19;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338716
"AAAI Workshop on Affective Content Analysis &amp; Happiness Shared Task: Modeling Affect-in-Action";Honolulu, Hawaii;27;0;2019;28;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347617
American Dialect Society Annual Meeting;New York, NY;03;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325896
American Name Society;New York, NY;03;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336816
Bilingualism in the Hispanic and Lusophone World;Leiden;09;0;2019;11;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334816
CLIN 29: Computational Linguistics in The Netherlands;Groningen;31;0;2019;31;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345656
Community-based Language Research across the Americas;New York, NY;02;0;2019;03;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336996
Computer-Assisted Literary Translation workshop;Swansea;25;0;2019;26;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352796
Conference On Asian Linguistic Anthropology 1;Siem Reap;23;0;2019;26;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=301076
Experimental Approaches to Cross-linguistic Variation in Island Phenomena;New York, New York;03;0;2019;07;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=326676
Fifth International Workshop for Computational Linguistics of Uralic Languages;Tartu;07;0;2019;08;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338496
Fifth National Language Conference;Cuttack, Odisha,;19;0;2019;21;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349456
First(!) Annual Meeting of the North American Research Network in Historical Sociolinguistics;New York City;05;0;2019;05;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332436
Fremdsprachenlehrwerke in der Frühen Neuzeit: Perspektiven – Potentiale – Herausforderungen;Berlin;21;0;2019;22;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331036
Hybrid/Paradoxal Representations of Gender and Sexuality;Siem Reap;23;0;2019;26;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338356
Interdisciplinary Conference on the Prehistory of Transeurasian Millets and Beans, Languages and Genes;Jena, Thuringia;08;0;2019;11;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342896
International Perspectives on Assessing World Languages;Cairo;30;0;2019;31;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346976
JALT Hokkaido Winter Language Teaching Conference;Sapporo, Hokkaido;26;0;2019;27;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340376
Language and Post-queer Sexuality in East Asia;Siem Reap;23;0;2019;26;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338376
L'apprenant en langues et dans les métiers de la traduction : source d'interrogations et de perspectives / Language learners and learning in the language and translation professions: questions pending and future avenues to explore;Rennes;31;0;2019;02;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325356
Las categorías gramaticales. Relaciones y diferencias, treinta años después;Madrid;30;0;2019;02;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347916
L’épilinguistique et le métalinguistique en linguistique énonciative;Paris Est-Marne La Vallée;17;0;2019;18;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335436
Linguistics and its Historical Forms of Organization and Production;Paris;24;0;2019;26;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328316
Linguistic Society of America 93rd Annual Meeting;New York, NY;03;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329876
Modern Language Association: Selected Topics in Romance Linguistics;Chicago, IL;03;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=317056
